,property,propertyLabel
0,http://dbpedia.org/property/name,name
1,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,
2,http://www.w3.org/2000/01/rdf-schema#label,
3,http://www.w3.org/2000/01/rdf-schema#comment,
4,http://www.w3.org/2000/01/rdf-schema#seeAlso,
5,http://xmlns.com/foaf/0.1/name,
6,http://xmlns.com/foaf/0.1/homepage,
7,http://xmlns.com/foaf/0.1/depiction,
8,http://purl.org/dc/terms/subject,
9,http://dbpedia.org/ontology/wikiPageID,Wikipage page ID
10,http://dbpedia.org/ontology/wikiPageRevisionID,Wikipage revision ID
11,http://dbpedia.org/ontology/wikiPageWikiLink,Link from a Wikipage to another Wikipage
12,http://dbpedia.org/ontology/wikiPageExternalLink,Link from a Wikipage to an external page
13,http://dbpedia.org/ontology/wikiPageRedirects,Wikipage redirect
14,http://dbpedia.org/property/smd,SMD
15,http://dbpedia.org/property/sms,SMS
16,http://dbpedia.org/property/suserZx,SUser ZX
17,http://dbpedia.org/property/tgmC,TGM C
18,http://dbpedia.org/property/txXbox,TX XBOX
19,http://dbpedia.org/property/vg,VG
20,http://dbpedia.org/property/ysinclairZx,YSinclair ZX
21,http://dbpedia.org/property/z64Zx,Z64 ZX
22,http://dbpedia.org/property/zx,ZX
23,http://dbpedia.org/ontology/thumbnail,thumbnail
24,http://dbpedia.org/ontology/wikiPageInterLanguageLink,Link from a Wikipage to a Wikipage in a different language about the same or a related subject.
25,http://dbpedia.org/property/hcg,HCG
26,http://dbpedia.org/property/usg,USG
27,http://dbpedia.org/property/1up,1UP
28,http://dbpedia.org/property/align,align
29,http://dbpedia.org/property/artist,artist
30,http://dbpedia.org/property/audioFormat,audio format
31,http://dbpedia.org/property/award,award
32,http://dbpedia.org/property/b,b
33,http://dbpedia.org/property/background,background
34,http://dbpedia.org/property/c,c
35,http://dbpedia.org/property/caption,caption
36,http://dbpedia.org/property/company,company
37,http://dbpedia.org/property/composer,composer
38,http://dbpedia.org/property/country,country
39,http://dbpedia.org/property/creator,creator
40,http://dbpedia.org/property/d,d
41,http://dbpedia.org/property/designer,designer
42,http://dbpedia.org/property/destruct,Destruct
43,http://dbpedia.org/property/developer,developer
44,http://dbpedia.org/property/director,director
45,http://www.w3.org/2002/07/owl#sameAs,
46,http://dbpedia.org/property/wikiPageUsesTemplate,
47,http://dbpedia.org/property/egm,EGM
48,http://dbpedia.org/property/engine,engine
49,http://dbpedia.org/property/executiveProducer,executive producer
50,http://dbpedia.org/property/firstAired,first aired
51,http://dbpedia.org/property/firstReleaseDate,first release date
52,http://dbpedia.org/property/firstReleaseVersion,first release version
53,http://dbpedia.org/property/foundation,foundation
54,http://dbpedia.org/property/founders,founders
55,http://dbpedia.org/property/g,g
56,http://dbpedia.org/property/gamezone,GameZone
57,http://dbpedia.org/property/genre,genre
58,http://dbpedia.org/property/gi,GI
59,http://dbpedia.org/property/gr,gr
60,http://dbpedia.org/property/gspot,GSpot
61,http://dbpedia.org/property/gt,GT
62,http://dbpedia.org/property/id,id
63,http://dbpedia.org/property/ign,IGN
64,http://dbpedia.org/property/industry,industry
65,http://dbpedia.org/property/language,language
66,http://dbpedia.org/property/lastAired,last aired
67,http://dbpedia.org/property/latestReleaseDate,latest release date
68,http://dbpedia.org/property/latestReleaseVersion,latest release version
69,http://dbpedia.org/property/length,length
70,http://dbpedia.org/property/locationCity,location city
71,http://dbpedia.org/property/locations,locations
72,http://dbpedia.org/property/logo,logo
73,http://dbpedia.org/property/m,m
74,http://dbpedia.org/property/mc,MC
75,http://dbpedia.org/property/mcPc,MC PC
76,http://dbpedia.org/property/modes,modes
77,http://dbpedia.org/property/mw,mw
78,http://dbpedia.org/property/n,n
79,http://dbpedia.org/property/na,na
80,http://dbpedia.org/property/narrated,narrated
81,http://dbpedia.org/property/network,network
82,http://dbpedia.org/property/numEmployees,num employees
83,http://dbpedia.org/property/numEpisodes,num episodes
84,http://dbpedia.org/property/numSeasons,num seasons
85,http://dbpedia.org/property/opmuk,OPMUK
86,http://dbpedia.org/property/oxm,OXM
87,http://dbpedia.org/property/parent,parent
88,http://dbpedia.org/property/pc,PC
89,http://dbpedia.org/property/pcgus,PCGUS
90,http://dbpedia.org/property/pictureFormat,picture format
91,http://dbpedia.org/property/platform,platform
92,http://dbpedia.org/property/platforms,platforms
93,http://dbpedia.org/property/producer,producer
94,http://dbpedia.org/property/products,products
95,http://dbpedia.org/property/programmer,programmer
96,http://dbpedia.org/property/publisher,publisher
97,http://dbpedia.org/property/quote,quote
98,http://dbpedia.org/property/released,released
99,http://dbpedia.org/property/rev,rev
100,http://dbpedia.org/property/rev1score,rev1Score
101,http://dbpedia.org/property/rev2score,rev2Score
102,http://dbpedia.org/property/s,s
103,http://dbpedia.org/property/series,series
104,http://dbpedia.org/property/source,source 
105,http://dbpedia.org/property/species,species
106,http://dbpedia.org/property/starring,starring
107,http://dbpedia.org/property/subsid,subsid
108,http://dbpedia.org/property/subtitle,subtitle
109,http://dbpedia.org/property/system,system
110,http://dbpedia.org/property/title,title
111,http://dbpedia.org/property/tx,TX
112,http://dbpedia.org/property/type,type
113,http://dbpedia.org/property/v,v
114,http://dbpedia.org/property/voy,voy
115,http://dbpedia.org/property/width,width
116,http://dbpedia.org/property/wikt,wikt
117,http://dbpedia.org/property/writer,writer
118,http://dbpedia.org/property/a,A
119,http://dbpedia.org/property/ignNgc,IGN NGC
120,http://dbpedia.org/property/mcNgc,MC NGC
121,http://dbpedia.org/property/ngc,NGC
122,http://dbpedia.org/property/npNgc,NP NGC
123,http://dbpedia.org/property/award1pub,award1Pub
124,http://dbpedia.org/property/gamezoneXbox,GameZone XBOX
125,http://dbpedia.org/property/ignPs,IGN PS
126,http://dbpedia.org/property/ignXbox,IGN XBOX
127,http://dbpedia.org/property/mcPs,MC PS
128,http://dbpedia.org/property/mcXbox,MC XBOX
129,http://dbpedia.org/property/ps,PS
130,http://dbpedia.org/property/xbox,XBOX
131,http://dbpedia.org/ontology/abstract,has abstract
132,http://dbpedia.org/property/aceSms,ACE SMS
133,http://dbpedia.org/property/crashZx,CRASH ZX
134,http://dbpedia.org/property/cvgA,CVG A
135,http://dbpedia.org/property/cvgC,CVG C
136,http://dbpedia.org/property/cvgSms,CVG SMS
137,http://dbpedia.org/property/display,display
138,http://dbpedia.org/property/gradar,GRadar
139,http://dbpedia.org/property/hyper,Hyper
140,http://dbpedia.org/property/oxmuk,OXMUK
141,http://dbpedia.org/property/pcguk,PCGUK
142,http://dbpedia.org/property/pcpp,PCPP
143,http://dbpedia.org/property/pczone,PCZone
144,http://dbpedia.org/property/poly,Poly
145,http://dbpedia.org/property/rev1Sms,rev1 SMS
146,http://dbpedia.org/property/rev3Smd,rev3 SMD
